,prices,market_caps,total_volumes,dates
1655,0.33363610970833024,16129004214.6032,3450936786.437814,2022-07-15 00:00:00.000
1656,0.3338671590882578,16148938887.012407,25137309697.36673,2022-07-16 00:00:00.000
1657,0.34994969180523516,16916754130.570707,23310361491.52784,2022-07-17 00:00:00.000
1658,0.3439497313500432,16675058880.772114,62468131981.56535,2022-07-18 00:00:00.000
1659,0.36466339965144995,17602742086.000675,24287013428.885525,2022-07-19 00:00:00.000
1660,0.37225626940575574,17977004406.100082,15747773889.552813,2022-07-20 00:00:00.000
1661,0.36061617567635407,17459066563.48312,5943471143.920102,2022-07-21 00:00:00.000
1662,0.36641453682043557,17715740062.040546,34998987061.88505,2022-07-22 00:00:00.000
1663,0.3582453885163846,17324899057.00061,12852784687.791933,2022-07-23 00:00:00.000
1664,0.36007230402718554,17373326657.245926,22728476180.28815,2022-07-24 00:00:00.000
1665,0.35913022491325847,17415032492.89394,13511649591.251595,2022-07-25 00:00:00.000
1666,0.3365071514433365,16267799275.739422,12266428974.382458,2022-07-26 00:00:00.000
1667,0.3367498497765932,16280339620.383312,28749929057.470314,2022-07-27 00:00:00.000
1668,0.35954942128264794,17311121486.44676,25637669862.021946,2022-07-28 00:00:00.000
1669,0.3724122694615612,17993565318.24411,15143779787.628317,2022-07-29 00:00:00.000
1670,0.3698439004011402,18046047855.84583,9366962075.838375,2022-07-30 00:00:00.000
1671,0.3871419117499372,18686873330.207775,37779483824.23274,2022-07-31 00:00:00.000
1672,0.38090942464251165,18430217002.051163,11383629246.530497,2022-08-01 00:00:00.000
1673,0.3794745647488202,18365390789.650043,20993433813.45899,2022-08-02 00:00:00.000
1674,0.3721443606390872,18088137791.456406,9268365393.484776,2022-08-03 00:00:00.000
1675,0.3697802274672732,17850173244.37779,18045143481.62729,2022-08-04 00:00:00.000
1676,0.37288592141949634,17986326951.22402,1009220096.721869,2022-08-05 00:00:00.000
1677,0.37673944023534195,18182630929.2215,1083081362.9394202,2022-08-06 00:00:00.000
1678,0.3724249101928857,18005459546.993305,528474692.2605269,2022-08-07 00:00:00.000
1679,0.37297833616296255,18026251934.20761,558451987.0240587,2022-08-08 00:00:00.000
1680,0.3794215621135739,18346010099.870422,1138699148.9583206,2022-08-09 00:00:00.000
1681,0.3690576085353753,17885564974.66502,3343031576.7911215,2022-08-10 00:00:00.000
1682,0.3818819170672477,18451264891.934143,1239763218.2306042,2022-08-11 00:00:00.000
1683,0.38103789907249513,18722737547.626007,1216921626.1301844,2022-08-12 00:00:00.000
1684,0.3806867206678796,18689186021.75396,1018932719.2623653,2022-08-13 00:00:00.000
1685,0.3791747053498095,18621005139.112835,661994515.9927043,2022-08-14 00:00:00.000
1686,0.37789173870428966,18579392207.667027,850831853.8594449,2022-08-15 00:00:00.000
1687,0.3768509898908952,18525959226.67408,1162193827.4376662,2022-08-16 00:00:00.000
1688,0.37832162183135193,18662404423.880558,1031739476.4237969,2022-08-17 00:00:00.000
1689,0.38189978201324554,18885868314.173786,1563237238.528783,2022-08-18 00:00:00.000
1690,0.3723714128223131,18412316301.11691,988350335.1681571,2022-08-19 00:00:00.000
1691,0.33647346534266226,16619838119.306381,1723039768.1176624,2022-08-20 00:00:00.000
1692,0.3387855562056176,16734615067.231573,890708537.3842945,2022-08-21 00:00:00.000
1693,0.3470545927088616,17146379649.371073,795459529.3534839,2022-08-22 00:00:00.000
1694,0.34562684245445874,17096908382.421494,1092232936.3839886,2022-08-23 00:00:00.000
1695,0.3477726001845276,17226011066.46298,980885020.0196048,2022-08-24 00:00:00.000
1696,0.34679271408890444,17168064186.93132,893746663.3587409,2022-08-25 00:00:00.000
1697,0.35009811479262676,17339114328.047993,880120992.1624258,2022-08-26 00:00:00.000
1698,0.3392009860890026,16771137642.241825,1466059795.947098,2022-08-27 00:00:00.000
1699,0.337101913520448,16685950202.083353,699466583.794597,2022-08-28 00:00:00.000
1700,0.3250929286503036,16183127804.81136,527683239.74135184,2022-08-29 00:00:00.000
1701,0.33423074716919543,16597261690.553997,928205984.638813,2022-08-30 00:00:00.000
1702,0.3275580359165741,16293719360.212246,866624871.255485,2022-08-31 00:00:00.000
1703,0.32804299150052096,16279792839.534712,796912925.4163057,2022-09-01 00:00:00.000
1704,0.33371001688142804,16563286140.750006,809944925.6004992,2022-09-02 00:00:00.000
1705,0.33138797677917714,16448201041.409803,846287512.8513036,2022-09-03 00:00:00.000
1706,0.33016893541165565,16401705686.288158,444863917.87654626,2022-09-04 00:00:00.000
1707,0.33223273827868427,16477181610.602238,405810028.4339963,2022-09-05 00:00:00.000
1708,0.3331744434353924,16503579175.836767,714260159.5814117,2022-09-06 00:00:00.000
1709,0.322882837554491,16040602510.232101,1188996326.401049,2022-09-07 00:00:00.000
1710,0.337812631402927,16767664626.557795,1023686540.747103,2022-09-08 00:00:00.000
1711,0.3405432304913233,16914537556.626074,1009572640.5292882,2022-09-09 00:00:00.000
1712,0.3565520466053419,17726561451.46776,1403094809.6246903,2022-09-10 00:00:00.000
1713,0.35763222072390133,17817289842.855175,802561442.9660527,2022-09-11 00:00:00.000
1714,0.35447266984431747,17665293814.17329,638880661.7877574,2022-09-12 00:00:00.000
1715,0.35859049426894085,17852055047.259144,1059520260.1242691,2022-09-13 00:00:00.000
1716,0.3331343427229645,16587780887.87984,1324489792.6553566,2022-09-14 00:00:00.000
1717,0.34229766627733377,17046141808.064371,1106999903.5049818,2022-09-15 00:00:00.000
